Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2023-12-30 12:48:50,25409,22627,8250,3376,16650,25443
2023-12-30 12:48:50,14937,12320,2573,25409,23139,8250
2023-12-30 12:48:50,3376,18186,29305,22639,8250,3376
2023-12-30 12:48:50,18186,29305,22895,8250,3376,18186
2023-12-30 12:48:51,29305,23151,8250,3376,16650,25443
2023-12-30 12:48:51,14936,12320,2573,25409,22883,8250
2023-12-30 12:48:51,3376,16650,25443,14938,12320,2573
2023-12-30 12:48:51,31047,28530,14936,12320,2573,31047
2023-12-30 12:48:51,28530,14937,12320,2573,31047,28530
2023-12-30 12:48:52,14938,12320,2573,25409,22627,8250
2023-12-30 12:48:52,3376,16650,25443,14937,12320,2573
2023-12-30 12:48:52,25409,23139,8250,3376,18186,29305
2023-12-30 12:48:52,22639,8250,3376,18186,29305,22895
2023-12-30 12:48:52,8250,3376,18186,29305,23151,8250
2023-12-30 12:48:53,3376,16650,25443,14936,12320,2573
2023-12-30 12:48:53,25409,22883,8250,3376,16650,25443
2023-12-30 12:48:53,14938,12320,2573,31047,28530,14936
2023-12-30 12:48:53,12320,2573,31047,28530,14937,12320
2023-12-30 12:48:53,2573,31047,28530,14938,12320,2573
2023-12-30 12:48:54,25409,22627,8250,3376,16650,25443
2023-12-30 12:48:54,14937,12320,2573,25409,23139,8250
2023-12-30 12:48:54,3376,18186,29305,22639,8250,3376
2023-12-30 12:48:54,18186,29305,22895,8250,3376,18186
2023-12-30 12:48:55,29305,23151,8250,3376,16650,25443
2023-12-30 12:48:55,14936,12576,14386,2573,25409,22883
2023-12-30 12:48:55,8250,3376,16650,25443,14938,12320
2023-12-30 12:48:55,2573,31047,28530,14936,12320,2573
2023-12-30 12:48:55,31047,28530,14937,12320,2573,31047
2023-12-30 12:48:56,28530,14938,12320,2573,25409,22627
2023-12-30 12:48:56,8250,3376,16650,25443,14937,12320
2023-12-30 12:48:56,2573,25409,23139,8250,3376,18186
2023-12-30 12:48:56,29305,22639,8250,3376,18186,29305
2023-12-30 12:48:56,22895,8250,3376,18186,29305,23151
2023-12-30 12:48:57,8250,3376,16650,25443,14936,12320
2023-12-30 12:48:57,2573,25409,22883,8250,3376,16650
2023-12-30 12:48:57,25443,14938,12320,2573,31047,28530
2023-12-30 12:48:57,14936,12320,2573,31047,28530,14937
2023-12-30 12:48:57,12320,2573,31047,28530,14938,12320
2023-12-30 12:48:58,2573,25409,22627,8250,3376,16650
2023-12-30 12:48:58,25443,14937,12320,2573,25409,23139
2023-12-30 12:48:58,8250,3376,18186,29305,22639,8250
2023-12-30 12:48:58,3376,18186,29305,22895,8250,3376
2023-12-30 12:48:59,18186,29305,23151,8250,3376,16650
2023-12-30 12:48:59,25443,14936,12320,2573,25409,22883
2023-12-30 12:48:59,8250,3376,16650,25443,14938,12320
2023-12-30 12:48:59,2573,31047,28530,14936,12320,2573
2023-12-30 12:48:59,31047,28530,14937,12320,2573,31047
2023-12-30 12:49:00,28530,14938,12320,2573,25409,22627
2023-12-30 12:49:00,8250,3376,16650,25443,14937,12320
2023-12-30 12:49:00,2573,25409,23139,8250,3376,18186
2023-12-30 12:49:00,29305,22639,8250,3376,18186,29305
2023-12-30 12:49:00,22895,8250,3376,18186,29305,23151
2023-12-30 12:49:01,8250,3376,16650,25443,14936,12320
2023-12-30 12:49:01,2573,25409,22883,8250,3376,16650
